timestamp,t_bmp,presion_hpa,altitud,t_dht,humedad
841523126,20.4,1008.17,42.88,21.3,70.0
841523127,20.4,1008.19,42.22,21.3,70.0
841523128,20.4,1008.1,42.55,21.4,69.9
841523129,20.4,1008.1,42.63,21.4,69.9
841523130,20.4,1008.18,42.8,21.4,69.8
841523131,20.4,1008.19,42.72,21.4,69.8
841523132,20.4,1008.09,42.8,21.4,69.8
841523133,20.4,1008.17,42.13,21.4,69.7
841523134,20.4,1008.19,42.55,21.4,69.7
841523135,20.4,1008.04,42.63,21.5,69.6
841523136,20.4,1008.06,42.63,21.5,69.6
841523137,20.4,1008.1,42.88,21.5,69.5
841523138,20.4,1008.17,42.38,21.5,69.5
841523139,20.4,1008.12,42.13,21.5,69.5
841523140,20.4,1008.17,42.38,21.6,69.5
841523141,20.4,1008.1,42.38,21.6,69.5
841523142,20.4,1008.15,43.14,21.6,69.3
841523143,20.4,1008.19,42.3,21.6,69.3
841523144,20.4,1008.11,42.72,21.6,69.2
841523145,20.4,1008.03,42.63,21.6,69.2
841523146,20.4,1008.09,42.47,21.7,69.1
841523147,20.4,1008.17,41.88,21.7,69.1
841523150,20.4,1008.18,41.71,21.7,69.1
841523150,20.4,1008.14,42.38,21.7,69.1
841523150,20.4,1008.21,41.88,21.7,69.1
841523151,20.4,1008.21,41.88,21.7,68.9
841523152,20.4,1008.2,42.55,21.7,68.9
841523153,20.4,1008.12,42.8,21.7,68.9
841523154,20.4,1008.23,41.8,21.7,68.9
841523155,20.4,1008.24,41.63,21.7,68.9
841523156,20.4,1008.14,42.97,21.8,68.8
841523157,20.4,1008.15,42.38,21.8,68.8
841523158,20.4,1008.2,42.13,21.8,68.7
841523159,20.4,1008.18,42.38,21.8,68.7
841523162,20.4,1008.2,42.38,21.8,68.6
841523162,20.4,1008.08,41.96,21.8,68.6
841523162,20.4,1008.14,42.47,21.8,68.5
841523163,20.4,1008.16,41.63,21.8,68.5
841523164,20.4,1008.16,42.55,21.8,68.5
841523165,20.4,1008.12,42.47,21.8,68.4
841523166,20.4,1008.18,43.3,21.8,68.4
841523167,20.4,1008.16,42.47,21.9,68.3
841523168,20.4,1008.14,42.47,21.9,68.3
841523169,20.5,1008.13,41.88,21.9,68.2
841523170,20.5,1008.17,42.38,21.9,68.2
841523171,20.5,1008.16,42.47,21.9,68.2
841523174,20.5,1008.16,42.3,21.9,68.1
841523174,20.5,1008.18,42.3,21.9,68.1
841523174,20.4,1008.15,42.13,21.9,68.1
841523175,20.5,1008.23,42.55,21.9,68.1
841523176,20.5,1008.12,43.14,21.9,68.1
841523177,20.5,1008.16,42.97,21.9,68.1
841523178,20.5,1008.13,42.22,22.0,68.0
841523179,20.5,1008.07,42.88,22.0,68.0
841523180,20.5,1008.14,42.22,22.0,68.0
841523181,20.5,1008.17,42.97,21.9,68.0
841523182,20.5,1008.15,41.8,21.9,68.0
841523183,20.5,1008.16,42.3,22.0,67.9
841523184,20.5,1008.15,42.63,22.0,67.9
841523185,20.5,1008.18,43.22,22.0,67.8
841523186,20.5,1008.16,42.63,22.0,67.8
841523187,20.5,1008.24,42.22,22.0,67.8
841523188,20.5,1008.17,42.22,22.0,67.7
841523189,20.5,1008.2,42.22,22.0,67.7
841523190,20.5,1008.17,42.22,22.0,67.6
841523191,20.5,1008.25,43.05,22.0,67.6
841523192,20.5,1008.17,42.22,22.1,67.6
841523195,20.5,1008.27,42.22,22.1,67.6
841523195,20.5,1008.11,42.13,22.1,67.5
841523195,20.5,1008.18,42.63,22.1,67.5
841523196,20.5,1008.19,41.63,22.1,67.5
841523197,20.5,1008.23,42.47,22.1,67.4
841523198,20.5,1008.15,41.8,22.1,67.4
841523199,20.5,1008.17,41.63,22.1,67.4
841523200,20.5,1008.16,42.22,22.1,67.4
841523201,20.5,1008.17,41.63,22.1,67.3
841523202,20.5,1008.2,41.46,22.1,67.3
841523203,20.5,1008.27,41.88,22.1,67.3
841523204,20.5,1008.22,42.72,22.1,67.2
841523205,20.5,1008.13,42.47,22.1,67.2
841523206,20.5,1008.29,42.63,22.1,67.1
841523207,20.5,1008.2,41.21,22.1,67.1
841523208,20.5,1008.26,42.13,22.1,67.1
841523209,20.5,1008.22,41.8,22.1,67.1
841523210,20.5,1008.09,42.88,22.2,67.0
841523211,20.5,1008.21,41.8,22.2,67.0
841523212,20.5,1008.04,42.55,22.2,67.0
841523213,20.5,1008.19,41.8,22.2,66.9
841523214,20.5,1008.18,41.88,22.2,66.9
841523215,20.5,1008.22,42.13,22.2,66.8
841523216,20.5,1008.22,42.05,22.2,66.8
841523217,20.5,1008.24,42.13,22.2,66.8
841523218,20.5,1008.22,41.3,22.2,66.8
841523219,20.5,1008.25,42.13,22.2,66.8
841523220,20.5,1008.21,42.22,22.2,66.7
